siren;date_cloture_exercice;type_bilan;confidentiality;0G;0N;110;110-112;112;120;124;126;130;131;132;134;136;140;142;154;156;164;166;169;172;174;176;180;182;184;193;195;197;199;1A;209;210;214;215;217;218;222;224;226;230;232;234;236;238;240;242;243;244;24A;24B;250;252;254;256;259;262;264;270;280;290;294;300;306;310;316;374;376;378;402;404;412;414;422;432;442;452;462;472;482;484;490;492;494;4D;4S;4W;582;584;585;596;597;599;5A;5Y;5Z;602;603;604;605;612;614;622;624;632;634;642;644;652;654;662;664;682;684;6A;6B;6D;6E;6G;6H;6N;6P;6R;6S;6T;6U;6V;6W;7B;7C;9Z;A1;A2;A3;A4;AA;AB;AB-AC;ABN;AC;AF;AF-AG;AFN;AG;AH;AH-AI;AHN;AI;AJ;AJ-AK;AJN;AK;AL;AL-AM;ALN;AM;AN;AN-AO;ANN;AO;AP;AP-AQ;APN;AQ;AR;AR-AS;ARN;AS;AT;AT-AU;ATN;AU;AV;AV-AW;AVN;AW;AX;AX-AY;AXN;AY;B1;BB;BB-BC;BBN;BC;BD;BD-BE;BDN;BE;BF;BF-BG;BFN;BG;BH;BH-BI;BHN;BI;BJ;BJ-BK;BJN;BK;BL;BL-BM;BLN;BM;BN;BN-BO;BNN;BO;BP;BP-BQ;BPN;BQ;BR;BR-BS;BRN;BS;BT;BT-BU;BTN;BU;BV;BV-BW;BVN;BW;BX;BX-BY;BXN;BY;BZ;BZ-CA;CA;CB;CB-CC;CBN;CC;CD;CD-CE;CDN;CE;CF;CF-CG;CFN;CG;CH;CH-CI;CHN;CI;CJ;CJ-CK;CJN;CK;CM;CN;CO;CØ;CO-1A;CON;CP;CQ;CR;CS;CS-CT;CSN;CT;CU;CU-CV;CUN;CV;CW;CX;CX-CQ;CXN;DA;DB;DC;DD;DE;DF;DG;DH;DI;DJ;DK;DL;DM;DN;DO;DP;DQ;DR;DS;DT;DU;DV;DW;DX;DY;DZ;EA;EB;EC;ED;EE;EF;EG;EH;EI;EJ;EK;ER;FA;FB;FC;FD;FE;FF;FG;FH;FI;FJ;FK;FL;FM;FN;FO;FP;FQ;FR;FS;FT;FU;FV;FW;FX;FY;FZ;GA;GB;GC;GD;GE;GF;GG;GH;GI;GJ;GK;GL;GM;GN;GO;GP;GQ;GR;GS;GT;GU;GV;GW;HA;HB;HC;HD;HE;HF;HG;HH;HI;HJ;HK;HL;HM;HN;HP;HQ;I3;I4;IY;JN;KD;KE;LN;LO;LP;LQ;LS;LW;MY;NG;NH;NK;ØH;ØJ;ØK;ØL;ØP;ØQ;ØR;P1;P2;P3;P4;P5;P6;P7;P8;P9;PE;PF;PH;QU;QV;QW;QX;R1;R2;R3;R4;R5;R6;R7;R8;SS;ST;TV;TW;TX;TY;TZ;UA;UB;UC;UD;UF;UH;XQ;YP;YT;YU;YW;YX;YY;YZ;ZJ
012345678;20181231;C;Public;82649327;2397056;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4568823;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;220031;;;;;;;;;;;28475;0;;28475;;;;;540293;513249;;27044;;;;;2288972;1888651;;400322;3174799;1343968;;1830832;91228;11219;;80009;244629;47706;;196924;302441;302441;;0;;;;;;9347425;9347425;;0;3663;3663;;0;;;;;2559;2559;;0;84944350;82380745;;2563605;;;;;;;;;;;;;;;;;;;;;199270;199270;;0;30068;30068;;0;2233060;529304;1703757;;;;;13219183;12917722;;301461;1404319;1404319;;0;36923;36923;;0;17122824;15117606;;2005218;;;102067174;;97498351;;;;1299000;;;;;68919865;68919865;;0;;;;;711840;7963;;71183;;;89549282;;-289131;1064;217140;90269342;;;0;48780;2839131;2887911;;;;2604908;;148218;125863;1000000;123502;338608;4341098;;97498351;;841098;;;;;;4623;0;4623;954;0;954;130220;0;130220;135797;0;135797;;;;128933;206166;470896;4623;;23923;;385776;131400;559989;273524;224479;;;7678;140764;1752156;-1281259;;;39482;28079;619956;58113;;;745630;262805;8056;;;270861;474769;-806491;280517;209176;112390;602083;0;111571;9499;121070;481014;;-36345;1818609;2107740;-289131;;;0;0;;;28475;0;5850813;0;333483;76770039;1503473;568768;0;82226;6102070;78273512;0;2377248;82226;84944350;224479;57930;2563605;;;;;;;;;;28475;27044;55519;2368581;197435;57930;2508086;;;;;;;;;;;;;;;;;9499;12390;217140;;;;;;;;;;;
012345678;20211231;C;Public;86471716;2900669;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3546013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;173052;;;;;;;;;;;29575;0;;29575;;;;;779284;408524;;370760;;;;;2270121;1794815;;475306;3678933;1637613;;2041320;91228;924;;90304;182415;2775;;179641;2771;2771;;0;;;;;;8945712;8945712;;0;53687;53687;;0;;;;;1059;1059;;0;84956534;81769628;;3186905;;;;;;;;;;;;;;;;;;;;;3518;3518;;0;226568;226568;;0;205623;205623;0;;;;;7347472;6988365;;359107;3374650;3374650;;0;14388;14388;;0;11172218;10813111;;359107;;;96128752;;92582739;;;;;;;;;68921749;68921749;;0;;;;;711840;7963;;71183;;;87482321;;-1974866;;171498;86469939;;;;91500;2675000;2766500;;;;2510528;;118328;177482;0;133941;406021;3346300;;92582739;;2500000;;;;;;44073;0;44073;6562;0;6562;220969;0;220969;271605;0;271605;;;0;92070;256241;619916;44073;;28901;;338729;104216;490913;272761;302113;;;0;105154;1686861;-1066945;;;307799;74833;-442726;174755;;;114661;7800;972708;;15990;996498;-881837;-1948782;;16250;24183;40433;161;1385;98889;100434;-60001;;-33917;775010;2749876;-1974866;;;0;0;;;808860;0;6176941;0;65787;79485915;348019;808860;0;17261;6225468;77922207;0;413806;1928988;84956534;302113;15876;3186905;;;;;;;;;;272438;127898;400335;2628231;174215;15876;2786570;;;;;;;;;;;;;;;;;7389;8943;171498;;;;;;;;;;;
012345678;20171231;C;Partiellement confidentiel;73638556;2332766;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4229146;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167321;2848780;3109967;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3333037;;106243;;;150;;;;;;28475;0;;28475;;;;;;;;;;;;;2300603;1925538;;375065;3172934;1459881;;1713053;91228;16688;;74539;286045;80123;;205922;;;;;;;;;;7845285;7845285;;0;3644;3644;;0;;;;;2259;2259;;0;82649327;80252271;;2397056;;;;;;;;;;;;;;;;;;;;;26979;26979;;0;108671;77106;;31564;1932677;197955;1734722;;;;;18394183;18328379;;65803;4011250;4011250;;0;43151;43151;;0;24516914;22684824;;1832090;;;107166241;;102937095;;;;1547063;;;;;68918849;68918849;;0;;;;;711840;7963;;71183;;;90281893;;-376691;3351;220031;90919571;;;;48780;2967321;3016101;;;;7623698;;110739;137153;1000000;127958;1873;9001422;;102937095;;441247;;;;;;26192;0;26192;;;;71920;0;71920;98112;0;98112;;;;106243;246267;450623;26192;;21215;;561034;136127;562003;274396;198513;;;6134;109010;1894628;-1444004;;;;20024;614713;296672;;;931409;10835;34166;;;45001;886408;-557596;45;257109;116618;373773;94917;151562;13580;260060;113713;;-67191;1755807;2132499;-376691;;;0;0;;;28475;0;5950933;0;0;67659147;0;28475;0;0;5850813;76770039;0;0;0;82649327;198514;134222;2397056;;;;;;;;;;27979;496;28475;2304787;198017;134222;2368581;;;;;;;;;;;6134;100000;3016101;;;;19714;116619;3236132;6134;2723;;;;;;;;;
012345678;20161231;C;Partiellement confidentiel;69830594;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4450693;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4023948;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2212781;6458521;;286646;;;;;;;;;28475;496;;27979;;;;;;;;;;;;;2321287;1971686;;349600;3212852;1545799;;1667053;101750;21678;;80071;315042;106981;;208061;;;;;;;;;;732251;732251;;0;5626;5626;;0;1760;1760;;0;2259;2259;;0;73638555;71305789;;2332765;;;;;;;;;;;;;;;;;;;;;772;772;;0;105173;73609;;31564;2032719;67457;1965262;;;;;29894890;29773790;;121100;1943362;1943362;;0;74102;74102;;0;34051021;31933093;;2117927;;;107689576;;103238883;;1760;;1996826;;;;;66917249;66917249;;0;;;;;711840;7963;;71183;;;91254787;;-261053;5637;223069;92013428;;;;48780;3061187;3109967;;;;7545564;;282599;144579;;137503;5241;8115488;;103238883;;586967;;;;;;11836;0;11836;;;;92388;0;92388;104225;0;104225;;;;287646;389972;781843;11836;;27644;;866430;214907;833921;402521;272134;;14819;21619;90133;2755970;-1974126;;;149;16;1280213;273750;;;1554129;129476;96571;;;226047;1328081;-646044;41124;464239;918483;1423847;24428;958363;19761;1002553;421294;;36304;3759820;4020874;-261053;;;0;0;;;;;6377133;0;402644;63425136;4284451;;0;828844;5950932;67659147;0;4688295;880334;73638555;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21619;935600;3109967;144296;239150;2117927;185676;1193233;5450964;;;;;;;;;;;
